Node	PosX	PosY
ENSG00000171606	1030.61892072	855.339681288
ENSG00000090612	-937.904391598	897.318348685
ENSG00000171940	1156.07753829	96.3358426902
ENSG00000122386	444.38682825	-1025.06970389
ENSG00000166261	-1787.10534668	1051.43036163
ENSG00000171222	-1581.78686523	1294.1932692
ENSG00000140836	-494.229989473	-908.820131941
ENSG00000277258	-919.332773209	-695.357188844
ENSG00000112182	858.881324206	-999.816550588
ENSG00000114251	-1165.44386545	-537.254243463
ENSG00000267680	-326.567053949	-944.476052509
ENSG00000127337	344.18903885	934.149526773
ENSG00000068323	662.785009131	1027.74357086
ENSG00000108064	-268.474646232	1229.49956641
ENSG00000043355	-1053.66802001	92.9332352345
ENSG00000129993	-803.659280988	1422.5314091
ENSG00000172465	128.370145571	971.269662502
ENSG00000121075	816.149053156	893.371715624
ENSG00000112837	-1284.4049516	-237.551266036
ENSG00000175550	1014.61864987	566.073321179
ENSG00000095564	1024.73445085	550.314984729
ENSG00000146592	1231.76093505	-189.966788212
ENSG00000196588	1124.46102185	-663.427186754
ENSG00000171056	552.295273654	-126.959694557
ENSG00000134595	-476.01634048	-494.398434941
ENSG00000177426	-922.985755055	-935.956984801
ENSG00000182968	-1195.07846596	-326.260475573
ENSG00000138083	-665.54799026	-623.914016919
ENSG00000141568	-40.8123553359	1598.34756433
ENSG00000104447	421.393541461	-424.756583579
ENSG00000079102	385.193980499	-927.114537842
ENSG00000159200	1484.9619291	289.038967048
ENSG00000101115	-538.803522067	-332.399320976
ENSG00000118495	235.680399796	953.489665263
ENSG00000165030	-905.812307709	-583.797248081
ENSG00000119138	-920.979836224	-561.025940473
ENSG00000165588	-672.067420812	-670.966078974
ENSG00000185345	-1571.46640721	519.618382109
ENSG00000116833	-149.247349352	-509.079543573
ENSG00000160113	96.1682067484	-1037.10498724
ENSG00000129535	-657.069725617	-1478.72783744
ENSG00000177463	590.600449362	-593.384370453
ENSG00000143257	-142.510506446	-1184.58835745
ENSG00000117707	-207.838858497	-265.279171036
ENSG00000117595	1318.4332011	70.9703388736
ENSG00000105866	588.228091833	260.995350876
ENSG00000123405	-576.07977324	629.485392479
ENSG00000185513	-755.332203126	973.16129346
ENSG00000125952	-430.587961316	1000.24069873
ENSG00000071564	-682.926348467	252.51932669
ENSG00000145908	-125.587126676	697.841565483
ENSG00000162613	-824.714650476	979.513183594
ENSG00000133740	-165.256118774	1200.18634031
ENSG00000057657	50.9237861303	205.638443015
ENSG00000169714	-516.679464442	968.717564134
ENSG00000198176	-247.452077485	480.121847108
ENSG00000059728	-947.378609896	-134.422053379
ENSG00000057935	-569.178388587	-436.763789866
ENSG00000135903	120.437612961	-603.412368505
ENSG00000085276	1183.65992396	-404.750077944
ENSG00000182759	999.474687281	-1052.35952897
ENSG00000106852	-1565.31064607	-495.188462921
ENSG00000164093	-1249.91627053	-387.27082615
ENSG00000118058	1227.50389503	799.619463618
ENSG00000124766	800.616989314	474.174954417
ENSG00000127528	-436.876523467	35.4290526622
ENSG00000118922	-261.700929414	-1197.95923329
ENSG00000105610	-1041.68341553	637.326117179
ENSG00000152977	1355.5763631	461.206300092
ENSG00000188283	585.501556322	634.926282562
ENSG00000081189	-755.76946125	-374.689453623
ENSG00000140968	655.826432924	-128.035861448
ENSG00000128604	391.409785358	455.45576543
ENSG00000138378	183.182974981	256.484244435
ENSG00000161298	66.2659351662	-89.4662645668
ENSG00000185122	240.688560687	191.149242973
ENSG00000182742	-48.1527024763	-732.239972197
ENSG00000178764	696.444845259	-935.413490708
ENSG00000137309	-171.859834028	16.3801969063
ENSG00000172273	759.97360734	-819.337978737
ENSG00000102554	105.809897048	231.02605974
ENSG00000102878	1165.53322207	60.2889648409
ENSG00000172238	-1425.53668716	965.46396478
ENSG00000020633	-338.237408038	277.732425476
ENSG00000069011	361.019035274	364.619604238
ENSG00000083307	-935.195774808	-677.161212396
ENSG00000136574	-722.98615145	-1.4814339772
ENSG00000073861	285.023785841	92.3928963394
ENSG00000154727	276.491812788	-900.279968728
ENSG00000178860	820.834745746	-712.240897504
ENSG00000049768	283.219958358	-403.043044964
ENSG00000128573	-280.821324019	-1050.49209039
ENSG00000184486	-163.66994208	-783.666837519
ENSG00000114861	-552.301134234	-889.230247827
ENSG00000157514	891.9709286	-306.190916013
ENSG00000176678	181.69882925	1188.99271298
ENSG00000176692	-24.1175713804	751.747787592
ENSG00000054598	-136.210337317	1277.12025959
ENSG00000144852	309.244920808	-155.009141424
ENSG00000125740	1205.11472891	560.951399831
ENSG00000025156	783.338497331	-91.8238069913
ENSG00000139083	440.670233046	-843.119244728
ENSG00000105672	-806.527801403	-1013.94100905
ENSG00000105722	559.041383221	1036.82533389
ENSG00000278570	-496.758163544	-1139.71963042
ENSG00000182979	-305.021362671	-123.765007149
ENSG00000169057	-758.862833116	-576.15863129
ENSG00000157554	170.196982012	231.477777696
ENSG00000120690	-220.510633736	568.696012763
ENSG00000101096	376.895736283	-1231.89350992
ENSG00000179388	297.275085336	-1472.92166363
ENSG00000131196	158.762500469	-1136.56859732
ENSG00000129173	-33.1337886063	974.608812503
ENSG00000169375	-29.8892608582	1222.48941886
ENSG00000137090	481.379311714	86.3489470852
ENSG00000108924	-536.032063653	1539.11874809
ENSG00000172466	-1097.12482625	467.286837162
ENSG00000183072	-952.911346065	-314.922889429
ENSG00000105392	-374.411033493	-1160.55836874
ENSG00000107175	577.040216357	285.005792742
ENSG00000109906	-573.588407916	-228.437223611
ENSG00000165556	-343.548842737	-161.542201407
ENSG00000067955	-224.984422549	160.749446739
ENSG00000134852	542.892880211	-817.296635565
ENSG00000075426	749.98417039	167.118278275
ENSG00000213999	1047.3328281	213.086455789
ENSG00000123685	563.194416708	-94.4527605965
ENSG00000116604	357.670468814	453.173411473
ENSG00000140044	486.832345165	267.701321025
ENSG00000162772	144.907857215	173.520688651
ENSG00000175197	129.836920375	-79.9859190817
ENSG00000183734	456.472754447	-1207.95025
ENSG00000144485	-1211.68541305	856.643395818
ENSG00000133794	512.843986314	-1135.49864941
ENSG00000084093	742.582639898	-181.661168728
ENSG00000160973	-491.803094046	-193.21812448
ENSG00000167034	314.825260516	116.064021111
ENSG00000125398	-190.310193128	-343.989031065
ENSG00000006468	685.044142253	-590.251515962
ENSG00000163909	604.30596219	-676.645520179
ENSG00000065978	28.8097854434	440.70042709
ENSG00000173153	-22.5454178739	-817.356665311
ENSG00000179059	-1282.31992632	-255.138794057
ENSG00000105698	234.973158599	-563.760647586
ENSG00000100968	177.086246203	968.848152943
ENSG00000198300	208.986336215	962.104188405
ENSG00000163508	-712.922981627	166.268094245
ENSG00000141905	-424.057617124	251.436246288
ENSG00000132274	368.181228255	44.9096505765
ENSG00000009950	148.495809613	1595.90803054
ENSG00000151090	86.3914417267	1220.73020846
ENSG00000126351	-71.9736458474	974.712167835
ENSG00000087510	-572.195612878	-859.14196894
ENSG00000173757	197.267078453	-313.373181341
ENSG00000170581	1005.68491951	168.734925095
ENSG00000141968	415.278604501	931.394288189
ENSG00000260027	-532.813000302	-368.681320679
ENSG00000178913	-189.021306739	-733.576629823
ENSG00000181449	-863.536581587	-346.154093101
ENSG00000113658	-890.493493813	308.639135702
ENSG00000101665	-140.524535848	-89.6638278996
ENSG00000175387	-227.455396436	-407.165866552
ENSG00000170365	-610.971317465	165.704683597
ENSG00000104856	408.435909226	-144.721286049
ENSG00000066336	72.4386880327	258.060399257
ENSG00000168214	-295.733052659	268.917534421
ENSG00000172819	-123.452975718	-665.900896814
ENSG00000108557	-168.583287005	-1182.17689492
ENSG00000170166	-121.338798516	-1188.02873433
ENSG00000197576	-162.847863321	-921.495833213
ENSG00000126368	381.37995908	-709.61718167
ENSG00000164104	-1279.48096927	-271.514046484
ENSG00000028277	205.419662006	333.970004092
ENSG00000143190	-106.553935122	-260.389302855
ENSG00000172534	-341.80885779	95.0734331494
ENSG00000137270	-414.77340825	-656.180480768
ENSG00000064835	-239.851314089	-340.950556966
ENSG00000165462	-1306.2668457	1196.86188019
ENSG00000185630	-651.358001732	-547.643311614
ENSG00000125618	-162.331612389	-69.2138935244
ENSG00000184895	-391.855528379	-531.240766051
ENSG00000143171	335.416195798	-1100.3068063
ENSG00000175745	181.984350576	-1044.43324042
ENSG00000025434	152.08441776	-765.800683802
ENSG00000134107	326.235837303	-839.717333235
ENSG00000131408	355.400252304	-1096.99088819
ENSG00000077150	-2.71337129103	143.818279204
ENSG00000139352	-672.709579136	539.457814892
ENSG00000148400	-364.371832121	289.704173382
ENSG00000137265	401.826311588	233.593038249
ENSG00000185507	434.122053444	263.478536194
ENSG00000125347	360.075362962	88.6224109383
ENSG00000163435	569.254850541	307.119593182
ENSG00000162924	361.832513309	424.40922083
ENSG00000128714	-817.374461913	921.876403809
ENSG00000131845	-457.978271751	975.247450282
ENSG00000243678	-310.766143799	1193.40050147
ENSG00000213762	-377.269317627	1242.52780957
ENSG00000136944	-753.295632172	527.99920547
ENSG00000185650	-571.810370826	898.920325206
ENSG00000269404	250.720674586	599.352668033
ENSG00000140262	-635.061046168	1121.3824092
ENSG00000070444	-868.52722168	870.922644549
ENSG00000130675	-504.135520447	953.845833403
ENSG00000152518	-676.295093751	997.676685548
ENSG00000168310	298.050542882	537.700490956
ENSG00000112200	-536.561979875	906.818041828
ENSG00000128272	207.976186932	255.363179701
ENSG00000145736	-551.360179686	1125.2310791
ENSG00000204231	-483.969931202	955.907038812
ENSG00000105516	-441.773418704	1206.87613722
ENSG00000121068	-211.11355189	-1188.44207812
ENSG00000152284	-1165.22631007	-64.9020837302
ENSG00000111704	-571.561367902	-165.827800583
ENSG00000164683	-500.360803532	85.8456661956
ENSG00000185129	73.2742709138	101.81705699
ENSG00000173404	-11.396756006	-699.059136222
ENSG00000082175	-264.015481268	-222.22877534
ENSG00000106004	-890.166390063	-607.68115671
ENSG00000135100	466.80704139	-718.339770905
ENSG00000114315	-147.537770749	249.364927083
ENSG00000143365	220.565903288	1187.12523232
ENSG00000111424	-51.9033464263	-245.904555176
ENSG00000213928	278.661606407	1174.27561868
ENSG00000178919	181.736076285	1193.44216234
ENSG00000005102	225.636388567	1176.2763906
ENSG00000187079	435.625301889	-215.359149916
ENSG00000064195	302.708741203	1168.69966704
ENSG00000141448	-598.190197798	-76.6418102964
ENSG00000184937	-76.1861302382	-43.6424470224
ENSG00000173917	-987.744434572	827.542652345
ENSG00000184481	603.319223844	-234.493577423
ENSG00000164442	313.435684157	-424.02260118
ENSG00000263001	1076.44895943	-316.493778607
ENSG00000187140	50.895717491	-1124.11196166
ENSG00000136352	-147.209947741	-540.657320762
ENSG00000102145	-414.082860586	342.813304154
ENSG00000151702	-0.290734248127	255.931830925
ENSG00000157557	201.584199195	417.361693156
ENSG00000105497	202.086283837	-949.96445819
ENSG00000251493	950.198568699	-199.797844895
ENSG00000091138	422.219503155	-345.556100432
ENSG00000175832	368.0256286	109.414868265
ENSG00000137203	-78.9838052268	-527.168772236
ENSG00000126561	185.149674935	-315.518944906
ENSG00000158711	502.473288709	-425.558076792
ENSG00000126767	533.699255724	-199.084621072
ENSG00000173039	222.207787795	46.1741074655
ENSG00000165891	-75.9798281761	378.614107477
ENSG00000112242	284.558328172	453.177270276
ENSG00000134323	-33.6394773466	307.904077001
ENSG00000126456	232.539012675	398.511423257
ENSG00000169016	-36.115554682	979.978985446
ENSG00000170515	138.619687719	468.168624197
ENSG00000138795	-472.302461386	-27.4621907088
ENSG00000106511	-1100.9409341	456.291084752
ENSG00000196628	-316.293732755	44.4455323151
ENSG00000138136	-1147.12113833	346.041557033
ENSG00000244405	-1141.85902056	332.955115496
ENSG00000175592	333.799651937	87.3846003532
ENSG00000078403	-897.699073345	146.160831453
ENSG00000164458	-691.085556399	55.4155388161
ENSG00000135111	-1125.34292459	376.362859219
ENSG00000164611	-269.035510923	240.430696206
ENSG00000159263	-1274.94070588	428.391285699
ENSG00000112033	-176.644804964	255.503223397
ENSG00000275700	-387.714648245	488.190439333
ENSG00000074047	64.173157004	507.154725563
ENSG00000106571	-1104.66356309	436.673226579
ENSG00000136826	-217.549654182	-87.0002357725
ENSG00000101057	-250.521469663	285.962795649
ENSG00000102804	-1131.81167832	381.839889085
ENSG00000168036	-489.370136465	192.958709246
ENSG00000095794	293.761512642	-172.496054053
ENSG00000137834	383.718275868	-675.766768233
ENSG00000136931	-177.650702867	-434.575849043
ENSG00000113580	273.255339454	-147.111927806
ENSG00000187098	-68.6502081079	-496.572233042
ENSG00000221869	-416.70666347	-213.303698406
ENSG00000204531	-675.619167928	-145.451644364
ENSG00000141646	105.025296861	-210.085597526
ENSG00000166949	-186.578838266	-45.3016535185
ENSG00000132170	-73.054590945	-90.4910669905
ENSG00000276043	-181.055962698	212.058962661
ENSG00000125798	-154.538969006	-230.48435607
ENSG00000189403	-734.803763778	85.6255915864
ENSG00000120837	-351.127637226	-362.167666816
ENSG00000113916	322.281699908	10.9813732789
ENSG00000100219	441.970331523	-499.390586824
ENSG00000118217	621.954188665	-638.399205557
ENSG00000115966	77.2383105496	-119.681859225
ENSG00000123268	59.8337565342	-474.462846872
ENSG00000124813	211.193155234	-177.521896059
ENSG00000198911	-38.8165167016	-208.420892032
ENSG00000072310	166.866490528	-569.544442241
ENSG00000169083	94.8479813311	-89.0102059383
ENSG00000156273	-1477.00985977	174.521302967
ENSG00000137947	336.799377936	929.156740665
ENSG00000143162	112.439158824	965.248952305
ENSG00000142867	274.48707253	951.119144507
ENSG00000245848	-229.096511627	13.6041768766
ENSG00000107485	-61.0366025124	176.761538325
ENSG00000143013	-317.018610448	-206.411375456
ENSG00000148737	-197.559713386	88.6477456578
ENSG00000148840	-531.765677129	-880.505014564
ENSG00000034677	1242.52388392	-724.895516662
ENSG00000171604	1211.56619458	-777.796216888
ENSG00000156030	1232.73821633	-743.164245506
ENSG00000165417	1218.90888398	526.888625343
ENSG00000196498	1085.0312795	-127.247433869
ENSG00000170653	313.356162873	585.612238592
ENSG00000166888	650.654798154	255.432969281
ENSG00000101849	1235.89985365	-145.544492063
ENSG00000172216	134.50051954	-27.754895192
ENSG00000068024	1247.99506068	-111.908744648
ENSG00000116044	937.582273208	-278.21771778
ENSG00000103479	-326.800451586	192.952656338
ENSG00000116478	-64.182271243	26.895897098
ENSG00000205250	-89.7367785555	216.317079968
ENSG00000162367	-16.4557240799	272.304332772
ENSG00000162599	252.681536093	319.878476711
ENSG00000168610	109.547285373	-136.831144061
ENSG00000147099	1234.03957319	-166.996254342
ENSG00000115415	550.480622824	-83.4436314613
ENSG00000143437	224.064353557	-291.490330976
ENSG00000122592	619.497934263	-1147.28357164
ENSG00000134954	193.251752553	-89.592052235
ENSG00000186350	307.363500489	-557.513297233
ENSG00000118260	174.386232124	-431.133893441
ENSG00000005339	273.347779642	-253.353225448
ENSG00000159216	834.950382039	-658.751881489
ENSG00000127616	-1009.31166988	125.06263078
ENSG00000125968	228.543962557	55.2812990822
ENSG00000118689	367.138560382	-125.765446418
ENSG00000101412	1.4983597477	245.851320265
ENSG00000111206	22.2435551927	67.4426652156
ENSG00000001167	-186.979232062	-249.200847243
ENSG00000069812	-250.115189988	355.076500438
ENSG00000120656	64.1106864088	368.96104159
ENSG00000117318	-494.020261677	273.979389955
ENSG00000007968	6.02391734756	184.006085086
ENSG00000004487	-215.478775691	335.555555639
ENSG00000140009	110.037478914	-216.166022979
ENSG00000068305	656.811656611	573.650204932
ENSG00000171497	1164.78597436	156.994228839
ENSG00000100320	1157.82030589	158.357656395
ENSG00000130522	836.344751036	245.674740584
ENSG00000125629	1167.35517342	84.3516722991
ENSG00000129315	953.841856197	262.118655614
ENSG00000100644	455.550387712	10.3421639408
ENSG00000139687	-128.786198631	111.028516832
ENSG00000096717	736.850957958	625.305861394
ENSG00000177374	220.634370799	411.411347791
ENSG00000144730	-1023.94908587	-779.461314717
ENSG00000179284	65.7939428504	977.597905926
ENSG00000186951	230.225036624	-165.790413697
ENSG00000101076	70.3253730486	-113.333419532
ENSG00000139515	332.027858868	-545.295352761
ENSG00000172059	609.870272315	-360.802005779
ENSG00000156650	928.543244164	-474.185751883
ENSG00000066136	-135.816885389	-107.433478917
ENSG00000087095	953.313449424	-417.372824908
ENSG00000185591	-20.8181985064	-139.231440009
ENSG00000145675	-811.119598481	-1358.34491941
ENSG00000183337	-31.4061427466	-923.013814521
ENSG00000089225	-1025.57914272	-860.351388068
ENSG00000071575	-795.657271321	-1367.91903926
ENSG00000179111	-830.17523068	-1346.71289593
ENSG00000148516	-346.13751849	-272.068524226
ENSG00000131759	-52.3893013096	-487.075518576
ENSG00000147596	-596.724523749	-1015.78910361
ENSG00000170345	252.125462636	-125.904981948
ENSG00000112658	569.676737648	-355.907099128
ENSG00000106546	-112.667280034	-207.232870086
ENSG00000073282	-65.225640755	-83.6244380164
ENSG00000116288	-332.135964687	75.1563686818
ENSG00000197921	-1054.3163782	24.0840473289
ENSG00000188290	-141.820571364	5.90816077783
ENSG00000173673	-473.346159061	57.2811091801
ENSG00000078900	-65.4904896433	90.6770131163
ENSG00000102974	-331.338980776	-17.3288735701
ENSG00000171223	1222.14202635	-761.603695055
ENSG00000137193	1261.44413375	-689.011268386
ENSG00000116016	757.927749457	-452.015877368
ENSG00000007372	-486.898829967	-415.857475999
ENSG00000135457	-552.377795791	-527.498274536
ENSG00000163565	947.190038681	330.627314791
ENSG00000177606	80.6438126437	20.9250683834
ENSG00000143799	950.803853221	571.163091495
ENSG00000130726	577.168202031	435.347885024
ENSG00000141376	673.247686876	-235.270185418
ENSG00000173334	763.165191736	-521.712256608
ENSG00000091831	-122.965773275	-264.001340827
ENSG00000135547	-470.653109301	1.55368813064
ENSG00000196781	786.482624955	-731.199929172
ENSG00000129514	250.84537667	-412.180848779
ENSG00000138386	750.779016045	741.301399341
ENSG00000069667	393.828158527	-207.371342109
ENSG00000100030	788.098952268	705.391507349
ENSG00000166886	802.250235287	692.753847918
ENSG00000179348	-180.295455986	192.068661906
ENSG00000120738	244.851841468	162.849758074
ENSG00000112592	402.61423879	177.888834646
ENSG00000141510	39.5271535508	241.395881856
ENSG00000109320	189.045500191	94.9675879721
ENSG00000103495	-214.4897156	1141.59804275
ENSG00000136997	-165.767232419	338.12730218
ENSG00000006194	-561.452480942	940.120610621
ENSG00000131910	652.106687263	102.450964358
ENSG00000012504	657.244114322	1.81307532059
